Product,amountBought,Department
"Vegan Coconut Milk Caramels With Sea Salt",1,snacks
"Chocolate Go Bites",1,snacks
"Easter Basket",1,household
"Drink Distinct All Natural Soda Pineapple Coconut & Nutmeg",1,missing
"Rosa Mosqueta Rose Hip Seed Oil",1,"personal care"
"Chocolate Peppermint Tart",1,bakery
"Lowfat Cherry Lime Supernova Kefir Cultured Milk Smoothie",1,"dairy eggs"
"Flax Oil, Organic, Omega-3, Original Formula",1,pantry
"Pappardelle Nests Pasta",1,"dry goods pasta"
"Indian Wells Merlot",1,alcohol
"Piquillo & Jalapeno Bruschetta",2,"canned goods"
"Anarchy For Her Daily Fragrance",2,"personal care"
"12 Inch Taper Candle White",2,household
"Pure Performance Restorative Shampoo Chamomile & Honey",2,"personal care"
"Petite Black Eyed Peas",2,"dry goods pasta"
"Organic Ice Cream Birthday Cake",2,frozen
"Greek Blended Cherry Fat Free Yogurt",2,"dairy eggs"
"Orange Flavored Ice Cubes",2,frozen
"Gluten Free Almond Snap Cookies",2,bakery
"American Blend",2,breakfast
